,image_id,street,citi,bed,bath,sqft,price
50,50,1,"Tehachapi, CA",4,2.0,1421,229900
51,51,1,"Rosamond, CA",3,2.0,1222,216000
52,52,1,"Rosamond, CA",2,2.0,956,230000
53,53,2,"Tehachapi, CA",3,2.0,1320,249000
54,54,2,"Rosamond, CA",3,2.0,1484,255000
55,55,1,"Bakersfield, CA",3,2.0,1499,233000
56,56,1,"California City, CA",3,2.0,1422,195000
57,57,1,"Pine Mountain Club, CA",3,2.1,1152,238000
58,58,1,"California City, CA",3,2.0,1774,230000
59,59,1,"Pine Mountain Club, CA",3,2.0,1584,219000
60,60,1,"Pine Mountain Club, CA",4,2.0,1368,239900
61,61,1,"Bakersfield, CA",3,2.0,1268,234900
62,62,2,"Tehachapi, CA",4,2.0,1888,255000
63,63,1,"California City, CA",3,2.0,1877,199000
64,64,1,"Frazier Park, CA",3,2.0,1290,237500
65,65,1,"Pine Mountain Club, CA",2,2.0,949,209750
66,66,1,"Tehachapi, CA",3,2.0,1402,239000
67,67,1,"Bakersfield, CA",3,2.0,1242,200000
68,68,2,"Tehachapi, CA",3,3.0,2354,249000
69,69,2,"Pine Mountain Club, CA",3,2.2,1426,249000
70,70,1,"California City, CA",4,2.0,1775,195000
71,71,1,"Pine Mountain Club, CA",3,2.0,952,199000
72,72,1,"Bakersfield, CA",5,2.0,1953,235000
73,73,1,"Bakersfield, CA",3,2.0,1527,209900
74,74,1,"Rosamond, CA",2,2.0,956,213900
75,75,1,"Pine Mountain Club, CA",3,2.0,1542,220000
76,76,2,"Bakersfield, CA",3,2.0,1411,250000
77,77,1,"Bakersfield, CA",3,2.0,1448,230000
78,78,2,"Frazier Park, CA",2,2.0,1536,245000
79,79,1,"Bakersfield, CA",2,1.0,991,219900
80,80,2,"California City, CA",3,2.0,1400,249000
81,81,2,"Frazier Park, CA",3,2.0,1380,249900
82,82,1,"Pine Mountain Club, CA",2,1.0,783,195000
83,83,1,"Inyokern, CA",2,1.0,1100,230000
84,84,1,"California City, CA",3,2.0,1729,210000
85,85,1,"California City, CA",3,2.0,1945,199950
86,86,1,"Pine Mountain Club, CA",4,2.0,1632,239000
87,87,2,"Pine Mountain Club, CA",3,2.0,1792,299000
88,88,2,"Tehachapi, CA",4,2.1,1967,249950
89,89,1,"Rosamond, CA",3,2.0,1433,260000
90,90,1,"Tehachapi, CA",3,2.0,2435,284900
91,91,2,"California City, CA",5,3.0,2065,249000
92,92,1,"Bakersfield, CA",3,2.1,1838,265000
93,93,1,"Bakersfield, CA",3,2.0,1683,290000
94,94,1,"Rosamond, CA",5,2.0,1837,260000
95,95,1,"Rosamond, CA",3,2.0,1630,259900
96,96,1,"Frazier Park, CA",3,2.0,1198,280000
97,97,1,"Tehachapi, CA",3,2.0,1512,274999
98,98,1,"Bakersfield, CA",3,2.0,1515,275000
99,99,1,"California City, CA",4,2.1,1996,269669
100,100,2,"Tehachapi, CA",4,3.1,3648,249000
101,101,1,"Bakersfield, CA",3,2.0,1316,275000
102,102,2,"Bakersfield, CA",3,2.1,1608,250000
103,103,2,"Bakersfield, CA",5,2.1,2228,299000
104,104,1,"Pine Mountain Club, CA",3,2.0,1800,270000
105,105,2,"Rosamond, CA",3,2.0,1425,255000
106,106,1,"California City, CA",4,3.0,1991,265000
107,107,2,"Rosamond, CA",3,2.0,1735,295000
108,108,2,"Bakersfield, CA",4,2.0,1639,295000
109,109,2,"Rosamond, CA",3,2.0,1500,245000
110,110,1,"Pine Mountain Club, CA",2,2.0,1137,259000
111,111,2,"Mojave, CA",6,5.0,2352,300000
112,112,1,"California City, CA",3,2.0,2400,258000
113,113,1,"Frazier Park, CA",3,3.1,1526,275000
114,114,1,"Rosamond, CA",3,2.0,1687,260000
115,115,2,"Frazier Park, CA",3,2.1,1558,295000
116,116,2,"Pine Mountain Club, CA",2,2.0,1378,249000
117,117,1,"Rosamond, CA",3,2.0,1473,269900
118,118,2,"Bakersfield, CA",4,3.0,1982,299900
119,119,1,"Lebec, CA",3,2.0,1800,259000
120,120,2,"Tehachapi, CA",3,2.0,1320,249000
121,121,1,"Frazier Park, CA",3,2.0,1665,289000
122,122,2,"Rosamond, CA",3,2.0,1484,255000
123,123,2,"Boron, CA",3,2.0,1800,299000
124,124,1,"Frazier Park, CA",3,2.0,2176,260000
125,125,1,"Frazier Park, CA",3,3.0,1376,269900
126,126,2,"Tehachapi, CA",4,2.0,1888,255000
127,127,1,"Pine Mountain Club, CA",3,3.0,1293,279000
128,128,2,"Lebec, CA",3,3.0,2479,299500
129,129,1,"Pine Mountain Club, CA",4,2.1,1579,279000
130,130,2,"Tehachapi, CA",3,3.0,2354,249000
131,131,2,"Pine Mountain Club, CA",3,2.2,1426,249000
132,132,1,"Pine Mountain Club, CA",2,2.0,1520,265000
133,133,1,"Pine Mountain Club, CA",3,2.0,1920,275000
134,134,1,"Frazier Park, CA",3,2.0,1836,274900
135,135,1,"Pine Mountain Club, CA",3,2.0,1688,274960
136,136,2,"Bakersfield, CA",3,2.0,1411,250000
137,137,1,"Frazier Park, CA",4,2.1,1897,285000
138,138,1,"Pine Mountain Club, CA",2,2.0,1733,278300
139,139,2,"Frazier Park, CA",2,2.0,1536,245000
140,140,1,"Pine Mountain Club, CA",3,2.1,1712,285000
141,141,2,"California City, CA",3,2.0,1400,249000
142,142,2,"Pine Mountain Club, CA",3,2.0,1459,299000
143,143,2,"Frazier Park, CA",3,2.0,1380,249900
144,144,2,"Pine Mountain Club, CA",3,2.1,1728,299000
145,145,1,"California City, CA",3,3.1,2571,275000
146,146,2,"Pine Mountain Club, CA",4,3.0,2300,299000
147,147,1,"Pine Mountain Club, CA",3,2.0,1344,279000
148,148,1,"Pine Mountain Club, CA",3,2.0,1536,278888
149,149,2,"Tehachapi, CA",3,1.0,1368,300000
150,150,2,"Pine Mountain Club, CA",3,2.0,1792,299000
151,151,1,"Bakersfield, CA",3,2.1,2011,339900
152,152,1,"Rosamond, CA",5,3.1,2557,344500
153,153,1,"Tehachapi, CA",4,2.0,1703,315000
154,154,1,"Pine Mountain Club, CA",3,2.0,1615,329900
155,155,2,"Tehachapi, CA",3,3.0,1656,355000
156,156,1,"Bakersfield, CA",4,3.0,2792,325000
157,157,1,"Rosamond, CA",4,2.1,1831,319900
158,158,2,"Frazier Park, CA",4,2.0,2216,349000
159,159,1,"Tehachapi, CA",3,2.0,1685,339000
160,160,1,"Bakersfield, CA",4,2.0,1838,315000
161,161,1,"Rosamond, CA",4,3.0,1689,315000
162,162,1,"Bakersfield, CA",4,2.0,2043,335000
163,163,1,"Mojave, CA",3,2.1,2112,330000
164,164,2,"Bakersfield, CA",5,2.1,2228,299000
165,165,1,"Tehachapi, CA",3,2.0,1833,340000
166,166,2,"Rosamond, CA",4,2.1,2498,349990
167,167,2,"Rosamond, CA",3,2.0,1735,295000
168,168,2,"Bakersfield, CA",4,2.0,1639,295000
169,169,1,"Tehachapi, CA",3,2.0,1954,309900
170,170,2,"Rosamond, CA",5,3.1,2637,350000
171,171,1,"California City, CA",5,4.0,2631,311000
172,172,1,"Mojave, CA",3,2.1,1622,319000
173,173,2,"Mojave, CA",6,5.0,2352,300000
174,174,1,"Stallion Springs, CA",4,2.0,2302,344900
175,175,1,"Bakersfield, CA",3,3.0,2639,329999
176,176,1,"Pine Mountain Club, CA",3,1.2,2304,329900
177,177,1,"Pine Mountain Club, CA",3,2.1,1640,335000
178,178,2,"Frazier Park, CA",3,2.1,1558,295000
179,179,2,"Bakersfield, CA",4,3.0,1982,299900
180,180,1,"Tehachapi, CA",3,2.0,1883,329000
181,181,2,"Boron, CA",3,2.0,1800,299000
182,182,2,"Bakersfield, CA",5,4.0,3865,349900
183,183,1,"Rosamond, CA",4,3.1,1987,316900
184,184,1,"Bakersfield, CA",3,2.0,2248,336800
185,185,2,"Bakersfield, CA",5,3.0,2972,349000
186,186,1,"Tehachapi, CA",4,2.0,1962,329999
187,187,1,"Frazier Park, CA",4,2.1,1856,328000
188,188,1,"Tehachapi, CA",4,2.0,2065,317000
189,189,2,"Lebec, CA",3,3.0,2479,299500
190,190,1,"Pine Mountain Club, CA",3,2.1,2072,338000
191,191,2,"Pine Mountain Club, CA",2,1.0,852,350000
192,192,2,"Pine Mountain Club, CA",3,2.0,2380,349000
193,193,2,"Tehachapi, CA",5,3.1,2725,345000
194,194,2,"Pine Mountain Club, CA",3,2.0,1459,299000
195,195,1,"California City, CA",3,2.1,2214,314900
196,196,2,"Pine Mountain Club, CA",3,2.1,1728,299000
197,197,1,"Ridgecrest, CA",6,4.0,2608,339900
198,198,1,"Bakersfield, CA",3,2.0,1840,324999
199,199,2,"Tehachapi, CA",3,2.1,3046,349000
200,200,2,"Pine Mountain Club, CA",4,3.0,2300,299000
201,201,1,"Pine Mountain Club, CA",4,3.0,1680,329000
202,202,2,"Tehachapi, CA",3,1.0,1368,300000
203,203,1,"Rosamond, CA",4,2.1,2700,360000
204,204,2,"Pine Mountain Club, CA",3,2.0,1958,398500
205,205,1,"Lebec, CA",2,2.0,1644,369000
206,206,1,"Tehachapi, CA",3,3.0,2052,365000
207,207,2,"Tehachapi, CA",3,3.0,1656,355000
208,208,1,"Bakersfield, CA",3,2.1,2296,388000
209,209,2,"Frazier Park, CA",4,2.0,2216,349000
210,210,2,"Bakersfield, CA",4,3.1,3249,399000
211,211,2,"Bakersfield, CA",5,3.0,3188,399900
212,212,1,"Pine Mountain Club, CA",4,4.0,2523,375888
213,213,1,"Pine Mountain Club, CA",3,2.0,1837,357000
214,214,1,"Kernville, CA",3,2.1,2125,389900
215,215,2,"Rosamond, CA",4,2.1,2498,349990
216,216,1,"Tehachapi, CA",3,2.0,2325,369900
217,217,2,"Rosamond, CA",5,3.1,2637,350000
218,218,1,"Tehachapi, CA",4,2.0,2252,388950
219,219,2,"Pine Mountain Club, CA",3,2.1,2000,399000
220,220,1,"Bakersfield, CA",5,3.1,2527,359900
221,221,1,"Tehachapi, CA",3,2.0,1762,365000
222,222,1,"Frazier Park, CA",4,4.0,2900,359000
223,223,1,"Lebec, CA",3,2.0,2287,369963
224,224,1,"Frazier Park, CA",4,3.1,2546,379900
225,225,2,"Frazier Park, CA",3,3.1,2075,399000
226,226,2,"Bakersfield, CA",5,4.0,3865,349900
227,227,2,"Bakersfield, CA",5,3.0,2972,349000
228,228,1,"Tehachapi, CA",4,2.0,2372,374000
229,229,1,"Rosamond, CA",5,3.0,2760,375000
230,230,1,"Pine Mountain Club, CA",3,2.1,2230,369900
231,231,2,"Keene, CA",2,2.0,1104,395000
232,232,1,"Pine Mountain Club, CA",4,3.0,2570,369900
233,233,2,"Bakersfield, CA",4,3.0,3071,395000
234,234,1,"Bakersfield, CA",4,3.0,2592,379900
235,235,2,"Bakersfield, CA",4,3.1,2368,399990
236,236,2,"Pine Mountain Club, CA",2,1.0,852,350000
237,237,2,"Pine Mountain Club, CA",3,2.0,2380,349000
238,238,2,"Tehachapi, CA",5,3.1,2725,345000
239,239,1,"Pine Mountain Club, CA",3,2.1,2196,356900
240,240,1,"Frazier Park, CA",3,3.0,2389,389000
241,241,1,"Frazier Park, CA",4,3.0,2746,379000
242,242,2,"Tehachapi, CA",3,2.1,3046,349000
243,243,2,"Mojave, CA",4,4.0,1687,400000
244,244,2,"Pine Mountain Club, CA",3,2.0,1958,398500
245,245,1,"Tehachapi, CA",3,2.1,2753,439000
246,246,2,"Gorman, CA",3,3.0,2503,449000
247,247,2,"Bakersfield, CA",4,3.1,3249,399000
248,248,2,"Bakersfield, CA",4,3.1,3578,449900
249,249,2,"Bakersfield, CA",5,3.0,3188,399900
250,250,1,"Bakersfield, CA",4,2.1,2496,419000
251,251,1,"Frazier Park, CA",3,2.0,2620,439000
252,252,1,"Tehachapi, CA",3,3.0,2265,429000
253,253,2,"Pine Mountain Club, CA",3,2.1,2000,399000
254,254,1,"Bakersfield, CA",4,3.0,2475,425000
255,255,2,"Frazier Park, CA",3,3.1,2075,399000
256,256,1,"Pine Mountain Club, CA",3,3.0,1915,423000
257,257,1,"Pine Mountain Club, CA",3,2.1,2570,439000
258,258,2,"Keene, CA",2,2.0,1104,395000
259,259,2,"Bakersfield, CA",4,3.0,3071,395000
260,260,2,"Bakersfield, CA",4,3.1,2368,399990
261,261,2,"Caliente, CA",5,4.0,3538,450000
262,262,1,"Tehachapi, CA",3,2.0,2638,424998
263,263,2,"Pine Mountain Club, CA",4,3.1,3744,445000
264,264,2,"Pine Mountain Club, CA",4,4.1,5300,449000
265,265,1,"Pine Mountain Club, CA",4,3.1,2753,425000
266,266,1,"Pine Mountain Club, CA",4,4.1,3855,425000
267,267,2,"Mojave, CA",4,4.0,1687,400000
268,268,1,"Pine Mountain Club, CA",4,2.1,2962,490000
269,269,1,"Bakersfield, CA",4,2.1,3136,469000
270,270,2,"Gorman, CA",3,3.0,2503,449000
271,271,2,"Bakersfield, CA",4,3.1,3578,449900
272,272,1,"Bakersfield, CA",10,8.0,3784,475000
273,273,1,"Bakersfield, CA",4,3.0,2521,475000
274,274,2,"Pine Mountain Club, CA",3,2.0,2150,495500
275,275,1,"Tehachapi, CA",5,2.1,3752,489000
276,276,2,"Caliente, CA",5,4.0,3538,450000
277,277,2,"Pine Mountain Club, CA",4,3.1,3744,445000
278,278,2,"Pine Mountain Club, CA",4,4.1,5300,449000
279,279,1,"Frazier Park, CA",3,2.0,1200,485000
280,280,2,"Pine Mountain Club, CA",5,3.1,3300,499000
281,281,1,"Pine Mountain Club, CA",3,3.1,2475,535000
282,282,2,"Pine Mountain Club, CA",3,2.0,2150,495500
283,283,4,"Caliente, CA",3,2.1,2040,550000
284,284,2,"Tehachapi, CA",3,2.1,3443,545000
285,285,4,"Caliente, CA",3,2.1,2040,550000
286,286,2,"Rosamond, CA",6,5.0,3942,550000
287,287,2,"Arvin, CA",4,3.0,2785,550000
288,288,2,"Pine Mountain Club, CA",5,4.1,5322,549000
289,289,2,"Bakersfield, CA",5,2.1,3103,550000
290,290,2,"Bear Valley Springs, CA",4,3.0,3001,545000
291,291,1,"Wofford Heights, CA",3,3.0,2466,524000
292,292,2,"Pine Mountain Club, CA",5,3.1,3300,499000
293,293,4,"Caliente, CA",3,2.1,2040,550000
294,294,2,"Tehachapi, CA",3,2.1,3443,545000
295,295,4,"Caliente, CA",3,2.1,2040,550000
296,296,2,"Rosamond, CA",6,5.0,3942,550000
297,297,2,"Arvin, CA",4,3.0,2785,550000
298,298,2,"Pine Mountain Club, CA",5,4.1,5322,549000
299,299,2,"Bakersfield, CA",5,2.1,3103,550000
300,300,2,"Bear Valley Springs, CA",4,3.0,3001,545000
301,301,2,"Caliente, CA",2,1.0,1480,599000
302,302,2,"Bakersfield, CA",6,3.0,2730,649999
303,303,1,"Bakersfield, CA",4,3.0,3472,619999
304,304,2,"Tehachapi, CA",4,3.0,4510,645000
305,305,2,"Caliente, CA",2,1.0,1480,599000
306,306,2,"Bakersfield, CA",6,3.0,2730,649999
307,307,2,"Bakersfield, CA",2,1.0,1092,699000
308,308,2,"Arvin, CA",4,4.0,4111,699000
309,309,2,"Tehachapi, CA",4,3.0,4510,645000
310,310,1,"Frazier Park, CA",4,2.0,3383,715000
311,311,2,"Inyokern, CA",5,3.0,3000,750000
312,312,2,"Bakersfield, CA",4,2.1,3221,747000
313,313,1,"Bakersfield, CA",5,4.0,5085,719000
314,314,2,"Bakersfield, CA",2,1.0,1092,699000
315,315,2,"Arvin, CA",4,4.0,4111,699000
316,316,2,"Bakersfield, CA",5,3.0,5832,799500
317,317,2,"Inyokern, CA",5,3.0,3000,750000
318,318,2,"Bakersfield, CA",4,2.1,2901,799000
319,319,2,"Bakersfield, CA",4,2.1,3221,747000
320,320,1,"Bakersfield, CA",5,4.1,4481,760000
321,321,2,"Bakersfield, CA",5,3.0,5832,799500
322,322,2,"Bakersfield, CA",4,2.1,2901,799000
323,323,1,"Frazier Park, CA",4,3.2,4390,829000
324,324,1,"Bakersfield, CA",7,4.1,5082,949000
325,325,2,"Kernville, CA",3,2.0,2686,995000
326,326,1,"Studio City, CA",3,2.0,2185,1095000
327,327,1,"Studio City, CA",3,2.0,1671,1225000
328,328,1,"Glendale, CA",3,2.0,1635,1075000
329,329,1,"Eagle Rock, CA",3,3.0,1980,1449700
330,330,1,"Rancho Palos Verdes, CA",4,2.0,2100,1049000
331,331,1,"Woodland Hills, CA",4,3.0,2568,1100000
332,332,1,"Montebello, CA",6,5.0,2625,1080000
333,333,1,"Los Angeles, CA",2,2.0,1834,1395000
334,334,1,"Culver City, CA",3,3.0,1382,1229000
335,335,1,"Woodland Hills, CA",4,4.0,2308,1195000
336,336,1,"Long Beach, CA",4,2.0,2055,1195000
337,337,1,"Walnut, CA",4,4.0,3348,1033000
338,338,1,"Los Angeles, CA",3,2.0,2162,1299000
339,339,1,"Los Angeles, CA",3,2.1,1970,1175000
340,340,1,"Rowland Heights, CA",4,3.0,3219,1038000
341,341,2,"Los Angeles, CA",2,1.0,1054,999999
342,342,1,"Long Beach, CA",5,4.0,3850,1423500
343,343,1,"Los Angeles, CA",3,2.0,1646,1079000
344,344,1,"Porter Ranch, CA",4,5.0,3923,1149000
345,345,1,"Newhall, CA",3,3.0,2176,1089000
346,346,1,"Covina, CA",4,4.0,3212,1188000
347,347,1,"Santa Monica, CA",2,1.0,1064,1450000
348,348,1,"San Marino, CA",3,2.0,1509,1188000
349,349,1,"Woodland Hills, CA",3,3.0,2338,1095000
350,350,2,"Los Angeles, CA",2,1.0,957,1499000
351,351,1,"Los Angeles, CA",3,2.0,1623,1075000
352,352,1,"Agoura Hills, CA",4,3.0,3003,1130000
353,353,1,"Stevenson Ranch, CA",4,3.0,3193,1097000
354,354,2,"La Canada Flintridge, CA",3,2.0,1302,999999
355,355,1,"Arcadia, CA",4,3.0,2406,1348000
356,356,1,"Pasadena, CA",4,3.0,1874,1150000
357,357,1,"El Segundo, CA",2,1.0,1057,1400000
358,358,2,"Pasadena, CA",4,3.0,3122,1499900
359,359,1,"Pasadena, CA",6,4.0,3145,1077500
360,360,1,"Rowland Heights, CA",4,3.0,2866,1200000
361,361,1,"Walnut, CA",4,3.0,2484,1150000
362,362,2,"El Monte, CA",6,3.0,3129,995900
363,363,1,"Torrance, CA",4,2.0,1923,1095000
364,364,1,"Los Angeles, CA",3,2.0,1758,1200000
365,365,1,"Studio City, CA",3,2.0,1250,1175000
366,366,1,"Los Angeles, CA",2,2.0,1713,1329500
367,367,1,"Los Angeles, CA",3,2.0,1600,1199000
368,368,1,"Long Beach, CA",3,1.0,1883,1200000
369,369,1,"Los Angeles, CA",2,2.0,1072,1099000
370,370,1,"Culver City, CA",2,1.0,1034,1050000
371,371,1,"Los Angeles, CA",3,2.0,1426,1198000
372,372,1,"Woodland Hills, CA",3,2.0,2021,1275000
373,373,1,"Altadena, CA",3,4.0,2937,1200000
374,374,1,"Los Angeles, CA",3,2.0,1293,1198900
375,375,1,"Long Beach, CA",3,1.1,1432,1299000
376,376,1,"Woodland Hills, CA",4,2.1,2364,1050000
377,377,1,"Woodland Hills, CA",3,4.0,2890,1475000
378,378,1,"Encino, CA",3,2.0,1445,1150000
379,379,1,"Los Angeles, CA",3,2.0,1400,1395000
380,380,1,"Downey, CA",4,5.0,4329,1400000
381,381,1,"Los Angeles, CA",3,2.0,1771,1195000
382,382,1,"Woodland Hills, CA",4,5.0,2934,1249000
383,383,1,"Pasadena, CA",3,2.1,2569,1250000
384,384,1,"Rancho Palos Verdes, CA",3,2.0,1612,1289000
385,385,1,"Long Beach, CA",7,6.0,3200,1450000
386,386,1,"Woodland Hills, CA",6,3.1,3070,1350000
387,387,1,"Los Angeles, CA",3,2.0,1677,1149000
388,388,2,"Sherman Oaks, CA",2,2.0,1628,995000
389,389,2,"Los Angeles, CA",3,2.1,1223,999999
390,390,1,"Los Angeles, CA",2,1.1,1274,1325000
391,391,1,"Los Angeles, CA",2,2.1,1774,1125000
392,392,1,"Long Beach, CA",3,3.0,2596,1250000
393,393,1,"Glendale, CA",3,2.0,1861,1184888
394,394,1,"Monrovia, CA",4,5.1,3677,1329900
395,395,2,"Encino, CA",5,4.0,2200,999000
396,396,1,"Los Angeles, CA",4,2.1,2031,1380000
397,397,1,"Woodland Hills, CA",4,4.1,3154,1119000
398,398,1,"Los Angeles, CA",4,3.0,2500,1255000
399,399,2,"Northridge, CA",4,3.0,3176,999900
400,400,2,"Pasadena, CA",3,2.0,1052,995000
401,401,1,"Torrance, CA",5,3.0,2388,1399000
402,402,1,"Los Angeles, CA",3,2.0,1827,1350000
403,403,1,"Agoura Hills, CA",5,3.1,3146,1249000
404,404,1,"Glendale, CA",4,2.1,2398,1349000
405,405,2,"Sunland, CA",4,5.0,3343,995000
406,406,1,"Monrovia, CA",4,2.1,2680,1138000
407,407,1,"Los Angeles, CA",3,3.0,1954,1075000
408,408,1,"Woodland Hills, CA",5,4.0,3009,1254888
409,409,1,"Azusa, CA",5,4.1,4584,1349000
410,410,1,"Rowland Heights, CA",4,3.0,3126,1148000
411,411,1,"Glendale, CA",3,3.1,2106,1349900
412,412,1,"Culver City, CA",2,1.0,1053,1050000
413,413,1,"Valley Glen, CA",4,3.0,2324,1174950
414,414,1,"Pasadena, CA",4,2.0,2097,1259000
415,415,1,"Woodland Hills, CA",5,3.1,2862,1349000
416,416,1,"Castaic, CA",5,4.1,3154,1160000
417,417,1,"Arcadia, CA",3,2.0,2074,1299990
418,418,1,"Monrovia, CA",3,2.1,2728,1250000
419,419,1,"Arcadia, CA",5,6.0,3543,1350000
420,420,1,"Long Beach, CA",3,2.0,1817,1189000
421,421,1,"Tarzana, CA",4,3.0,2455,1295000
422,422,1,"Burbank, CA",4,3.0,2012,1099000
423,423,1,"Woodland Hills, CA",3,2.1,2061,1250000
424,424,1,"Diamond Bar, CA",5,6.0,3467,1480000
425,425,1,"Hacienda Heights, CA",5,6.0,5629,1480000
426,426,1,"Los Angeles, CA",3,2.0,1700,1395000
427,427,1,"Encino, CA",3,2.1,2202,1195000
428,428,1,"Los Angeles, CA",5,5.0,3506,1395000
429,429,2,"Los Angeles, CA",3,2.0,1467,1495000
430,430,1,"Canyon Country, CA",4,3.1,3144,1050000
431,431,1,"Long Beach, CA",5,4.0,2126,1299000
432,432,1,"Los Angeles, CA",3,4.0,1859,1199000
433,433,1,"Sunland, CA",4,2.0,1990,1135000
434,434,1,"La Canada Flintridge, CA",3,2.0,1818,1399000
435,435,2,"Los Angeles, CA",3,2.0,1530,995000
436,436,1,"Arcadia, CA",3,2.0,1973,1258888
437,437,1,"Van Nuys, CA",4,4.0,2619,1099000
438,438,1,"Los Angeles, CA",5,3.0,2142,1100000
439,439,1,"Burbank, CA",4,4.0,2097,1445000
440,440,2,"Woodland Hills, CA",4,3.2,2481,999999
441,441,1,"Los Angeles, CA",3,1.0,1200,1090000
442,442,1,"Los Angeles, CA",5,3.1,2374,1350000
443,443,1,"La Canada Flintridge, CA",3,2.0,1432,1395000
444,444,1,"Long Beach, CA",2,2.0,1145,1100000
445,445,1,"West Covina, CA",5,2.0,2843,1050000
446,446,1,"Glendale, CA",3,2.0,1391,1050000
447,447,1,"Sherman Oaks, CA",3,2.1,2706,1479900
448,448,1,"Santa Monica, CA",2,1.0,860,1395000
449,449,1,"Sierra Madre, CA",3,2.0,1641,1125000
450,450,1,"Long Beach, CA",4,3.0,4051,1295000
451,451,1,"Tarzana, CA",5,4.1,3262,1349000
452,452,2,"Tarzana, CA",3,2.0,1890,998000
453,453,1,"Alhambra, CA",5,3.0,2629,1088000
454,454,2,"Walnut, CA",3,3.0,2479,998000
455,455,1,"Los Angeles, CA",5,1.1,2252,1199000
456,456,1,"Rowland Heights, CA",5,4.1,3300,1350000
457,457,1,"Los Angeles, CA",3,2.0,1554,1050000
458,458,1,"Beverly Hills, CA",2,2.0,1200,1150000
459,459,1,"Tarzana, CA",3,2.0,1764,1189000
460,460,1,"Los Angeles, CA",4,2.1,2092,1100000
461,461,1,"Los Angeles, CA",6,3.0,3439,1250000
462,462,1,"Los Angeles, CA",4,3.1,3101,1400000
463,463,1,"Culver City, CA",2,2.0,1319,1029999
464,464,1,"Sherman Oaks, CA",3,2.1,1875,1399000
465,465,1,"Sierra Madre, CA",2,2.0,1262,1100000
466,466,1,"Los Angeles, CA",3,3.0,2186,1410000
467,467,1,"Los Angeles, CA",2,2.1,1538,1175000
468,468,1,"Los Angeles, CA",4,3.1,2433,1449000
469,469,1,"Torrance, CA",4,2.0,1784,1120000
470,470,2,"Los Angeles, CA",2,2.0,2024,1499000
471,471,2,"Long Beach, CA",4,3.0,2013,995000
472,472,1,"Venice, CA",1,1.0,499,1194000
473,473,1,"Sherman Oaks, CA",3,2.0,1942,1298000
474,474,1,"Los Angeles, CA",4,3.0,2340,1399000
475,475,1,"Los Angeles, CA",4,3.0,2162,1479000
476,476,2,"Los Angeles, CA",2,2.0,1163,999000
477,477,1,"Los Angeles, CA",4,2.0,2578,1349000
